,da_name,lat_name,eng_name,group_name,class_name,order_name,family_name,text
41,Engelskgræs,Armeria maritima,Sea pink,Urter,Tokimbladet,Hindebægerordenen,Hindebægerfamilien,"Engelskgræs er en almindelig urt i Danmark, især på sandet og jord. Planten vokser ved kysten, på strandenge, skrænter, i klitter, på strandoverdrev samt i vejkanter inde i landet. Stængel og blade Engelskgræs danner tætte, lave tuer. Plantens blade sidder tæt over jorden i en roset. I midten af bladene vokser de bladløse stængler op. Blomster og frugter Urtens blomster sidder i runde, tætte hoveder i enden af stænglerne. Der er ca. 10-30 blomster i hvert hoved. Blomsterne er velduftende og lyserøde med 5 kronblade samt hindeagtige bægerblade. Engelskgræsens frugter er små kapsler, der åbner sig på tværs. Bægerbladene bliver siddende på kapslerne, som spredes med vinden. "
42,Engforglemmigej,Myosotis scorpioides,Water forget-me-not,Urter,Tokimbladet,Læbeblomstordenen,Rubladfamilien,"Engforglemmigej er almindelig og ret hyppig overalt i Danmark. Urten vokser på fugtig og næringsrig bund ved bredden af vandløb, søer, åer, på våde enge, i moser og på bunden af delvist tørlagte vandløb og vandhuller. Stængel og blade Planten er ret grenet med en opstigende og håret bladstængel. Bladene er flade og kan også være hårede. Blomster og frugter Urtens små, flade blomster er lyseblå med en gul og hvid midte. Blomsterne sidder på bladløse svikler. Plantens frugter er spaltefrugter med fire frø. Frøene kan flyde i ret lang tid og spredes især med vandet."
43,Engkabbeleje,Caltha palustris,Marsh marigold,Urter,Tokimbladet,Ranunkelordenen,Ranunkelfamilien,"Engkabbeleje er meget almindelig og hyppig i det meste af Danmark. Den er en sumpplante, som vokser ved vandløb og søer, i kildevæld, moser og sumpe samt på næringsrige og fugtige enge. Stængel og blade Plantens blade er grønne og rundtakkede. Grundbladene er langstilkede, hvorimod stængelbladene er kortstilkede. Stænglerne er oprette og tykke. Engkabbeleje er desuden en ret lav urt, der ofte vokser i små tuer. Blomster og frugter Engkabbelejens blomster er store og smørgule. Blomsterne har desuden op til 100 støvblade. Urtens frugter er flerfoldsfrugter med 5-8 bælgkapsler med frø. Frøene kan flyde og spredes med vandet."
44,Engkarse,Cardamine pratensis,Cuckoo flower,Urter,Tokimbladet,Kornblomstordenen,Kornblomstfamilien,"Engkarse er almindelig i det meste af Danmark. Planten vokser på fugtig jordbund ved søbredder, i grøfter, moser og på våde enge.BladeEngkarsen er en opret plante med fjersnitdelte, grønne blade med op til 10 småblade uden stilk. Småbladene på de nederste blade er mere afrundede end på de øverste, hvor småbladene er nærmest linieformede. Blomster og frugterBlomsterne er lyserøde eller lilla med gule støvknapper. De består af 4 kronblade, som danner et kors. Blomsterne sidder i en klase eller en halvskærm. Plantens frugter er linieformede skulper, der er 2-3 cm. lange."
45,Fin kløver,Trifolium dubium,Lesser trefoil,Urter,Tokimbladet,Ærteblomstordenen,Ærteblomstfamilien,"Fin kløver er hyppig i Danmark. Planten vokser i vejkanter, klitter, på græsplæner, marker og strandbredder. Blade og stængel Urten er opret eller nedliggende med tynde, grenede stængler. Bladene er 3-koblede, dvs. de er sammensatte af tre småblade. Småbladene er omvendt ægformede, afrundede med tandet bladrand. Det midterste blad har desuden en tydelig stilk. Blomster Urtens blomster er samlet i gule blomsterhoveder med 8-15 blomster, der har ærteformede kroner. Blomsterne bestøves desuden af insekter."
46,Fingertang,Laminaria digitata,Oarweed,Alger,Brunalger,Laminariales,Laminariaceae,"Fingertang er en almindelig alge i de fleste danske farvande. Nogle steder kan planten danne store tangskove under vandet. Kendetegn Fingertang er en af de tre danske arter af bladtang, som alle består af en læderagtig bladplade med en stilk. Fingertangens bladplade er fingerdelt (deraf plantens navn) og olivenbrun eller grøn. Stilken er glat, jævnt tyk og kan blive op til en meter lang. Vækst Fælles for de tre danske arter af bladtang er desuden, at væksten sker i området mellem stilken og bladpladen. Hvert år danner algen nye blade, som erstatter de gamle."
47,Frøbid (Stor),Hydrocharis morsus-ranae,Common Frogbit,Urter,Tokimbladet,Frøbidordenen,Frøbidfamilien,"Frøbid er en ret sjælden vandplante i Danmark. Den findes i tørvegrave, søer, grøfter, åer, damme og vandhuller, hvor den vokser på lavt vand. Blade Bladene er nyreformede og sidder sammen i såkaldte rosetter med udløbere. Undersiden er rødlig med stilke. Bladene flyder i vandoverfladen, men planten er rodfæstet til bunden med lange rødder. Blomster og frugter Urten har hvide blomster med tre kronblade, der sidder på tynde stilke og er hævet over vandet. Blomsterne er enten hanlige eller hunlige og bestøves af insekter. Frugterne bær, men de udvikles meget sjældent her i landet. Planten formerer sig derimod vegetativt (se vidste du det)."
48,Fuglekirsebær,Prunus avium,Wild Cherry/Gean,Træer,Tokimbladet,Løvfældende,Rosenfamilien,"Man regner med, at fuglekirsebær blev indført i Danmark for ca. 1.000 år siden og derefter har spredt sig. De dyrkede former for kirsebær stammer fra fuglekirsebær. Blade, blomster og frugter Fuglekirsebær har 6-8 cm lange, ovale blade med en lang bladstilk. De er savtakkede i kanten. Blomsterne er store og hvide. De enkelte blomster har 5 kronblade, 5 grønne bægerblade og mange støvdragere. Fuglekirsebær blomstrer i maj-juni. Frugterne er mørkerøde eller næsten sorte kirsebær med en lang stilk. De er modne sidst i juli eller først i august. Kirsebærrene er stenfrugter. De er mindre end dyrkede kirsebær, men de er søde og saftige. Planterne spredes med fugle, der spiser bærrene."
49,Følfod,Tussilago farfara,Coltsfoot,Urter,Tokimbladet,Kurvblomstordenen,Kurvblomstfamilien,"Følfod er almindelig i Danmark. Planten vokser især på fugtig, leret og næringsrig jordbund på vejskrænter, græsmarker, grusstrande, i klitter, grøftekanter, ved søbredder og ved bebyggelse. Stængel, blomster og blade Følfod har lange, grenede jordstængler og små, oprette stængler, der er beklædt med rødlige, skælformede blade. Urtens blomster er gule og samlet i enlige kurve med både han- og hunblomster. Hunblomsterne er randblomster med tungeformet krone, hvorimod hanblomsterne sidder i midten af kurven og bærer rørformede kroner. Følfod blomstrer tidligt, og først efter afblomstringen udvikles grønne løvblade. De er store, nyreformede og langstilkede med tandet kant og hvidfiltet underside. Bladene sidder desuden i en roset ved jorden (se billede)."
50,Gederams,"Chamaenerion angustifolium, Epilobium angustifolium","Fireweed, Narrow-leafed Willow-herb, Rosebay Willow-herb",Urter,Tokimbladet,Myrteordenen,Natlysfamilien,"Almindelig gederams vokser i hele Danmark og er meget udbredt i rydninger i nåleskove, heder og klitter samt langs veje. Planterne vokser tæt og danner tæpper. Stængel og blade Gederams har kraftige, oprette stængler med spredte blade. De er smalle og lancetformede med bølget rand. Bladene kan være rødlige. Blomster og frugter Blomsterstanden er en lang, opret klase med 15-50 rødviolette blomster. Hver blomst har 4 kronblade. Kapslen er 5-8 cm lang, linieformet og åbner sig med 4 klapper. Frøene har frøuld og spredes med vinden."
51,Gråbynke,Artemisia vulgaris,Mugwort,Urter,Tokimbladet,Kurvblomstordenen,Kurvblomstfamilien,"Gråbynke er en meget almindelig og vidt udbredt urt overalt i landet. Planten vokser langs veje, på strandvolde, i markskel, levende hegn, grøftekanter og ved beboelser. Stængel og blade Gråbynke er en kraftig urt, med flere oprette stængler. Stænglerne er grenede, rødbrune og kantede. Plantens bade er fjersnitdelte med spidse og lancetformede flige. Bladene er desuden mørkegrønne og glatte på oversiden og hvidfiltede på undersiden. Blomster og frugter Urten bærer talrige klaser af små blomsterkurve. De består af små, rørformede, rødbrune blomster med lysegrå kurvblade. Gråbynkens frugter er små nødder, der spredes med vinden om vinteren. Hver plante kan faktisk producere helt op til 700.000 frugter."
52,Gråpil,Salix cinerea,Grey willow,Træer,Tokimbladet,Løvfældende,Pilefamilien,"Gråpil er den mest almindelige pileart i Danmark. Den findes over hele landet bortset fra i Vestjylland. Planten vokser på fugtig bund ved vandløb og søer samt i skovbryn og moser. Kendetegn Gråpil er en buskformet plante, der ofte danner tætte krat. Bladene er grågrønne med dunhåret overside og lys, filtet underside. Raklerne eller gæslingerne (se billede) er grågrønne ved hunplanter og gule ved hanplanter. Raklerne sidder på korte, lådne stilke. Frugter og blomster Når kapslerne bliver modne, åbner de sig og frøet spredes med vinden. Blomsterne har nektar, og især hannens blomster tiltrækker mange bier."
53,Gul snerre,Galium verum,Yellow bedstraw,Urter,Tokimbladet,Snokronede,Krapfamilien,"Gul snerre er meget almindelig overalt i Danmark, hvor planten især findes på tør, sandet og mager jordbund. Urten vokser normalt i vejkanter og klitter samt på marker, skrænter, heder, overdrev og strandvolde. Stængel og blade Den gule snerres overjordiske stængler er runde og oprette med 4 rækker dunhår. Urtens nåleformede blade er mørkegrønne med ulden underside. Desuden sidder bladene 8-12 sammen i adskilte kranse om stænglerne. Planten danner ofte tætte bevoksninger. Blomster og frugter Urtens blomster er små og gule med 4 kronblade. Blomsterne er samlet i en top og dufter ret stærkt. Urten har spaltefrugter, der hver indeholder 2 glatte og sorte delfrugter."
54,Gul åkande,Nuphar lutea,Yellow waterlily,Urter,Tokimbladet,Åkandeordenen,Åkandefamilien,"Gul åkande er temmelig almindelig i det meste af Danmark. Vandplanten vokser i næringsrige søer, damme, grøfter, rolige åer og i vandløb med op til 4-5 meter dybt vand. Stængel og blade Åkanden har en tyk jordstængel. Fra jordstænglen udgår både korte stilke med undervandsblade og lange stilke med flydeblade eller blomster. Flydebladene er store, ovale og grønne med et indhak ved stilken, og bladoversiden er dækket af et lag voks. Det forhindrer spalteåbningerne i at blive tilstoppet. Blomster Gul åkandes blomster er store og gule. De består af talrige kroblade og støvblade samt et støvfang. Blomsterne bestøves af insekter, der tiltrækkes af blomsterne kraftige duft."
55,Gåsepotentil,Argentina anserina,Silverweed,Urter,Tokimbladet,Rosenordenen,Rosenfamilien,"Gåsepotentil er almindelig i Danmark, hvor urten vokser på fugtig, næringsrig jordbund ved kysten på sandstrande, strandenge og strandvolde samt i vejkanter og på enge. Planten kan desuden danne ret tætte bevoksninger. Stængel og blade Gåsepotentilen er en lav og krybende urt med overjordiske, rodslående udløbere, der er tynde og rødlige. Bladene er desuden fjersnitdelte med savtakkede og ovale småblade, som er grønne på oversiden og dækket af silkehår på undersiden. Bladene er samlet i rosetter. Blomster og frugter Urtens blomster er gule og sidder enkeltvis på oprette, bladløse stilke, der udgår fra udløberne eller bladrosetterne. Blomsterne har hver 5 kronblade. Urtens frugt er en flerfoldsfrugt med små nødder."
56,Harekløver,Trifolium arvense,Haresfoot clover,Urter,Tokimbladet,Ærteblomstordenen,Ærteblomstfamilien,"Harekløver er meget almindelig i Danmark, hvor den findes på tør og sandet jordbund. Urten vokser især på overdrev, heder, marker, strandenge, i vejkanter, klitter og tæt ved byen. Stængel og blade Harekløver er en tæthåret urt med oprette og grenede stængler med koblede blade, der består af 3 småblade. Småbladene er ca. 1-2 cm lange, smalle og lancetformede. Kun de nederste blade har stilke. Blomster Urtens blomster har hvide eller blegrøde kroner og mørke, dunhårede blomsterbægere med lange, hårede tænder. Bægeret skjuler næsten de røde kroner. Blomsterne er desuden samlet i stilkede, tætte aks eller aflange hoveder."
57,Hassel,Corylus avelanna,Hazel,Buske,Tokimbladet,Bøgeordenen,Hasselfamilien,"Hassel er en stor busk med mange stammer. Om foråret ses de lange gule hanrakler og hunblomsterne. Hassel er udbredt i det meste af Europa, og man mener, at mennesker har spredt nødderne lige siden stenalderen. Blade, blomster og frugter Bladene er glatte, let hjerteformede med en spids. Bladranden er dobbelt savtakket. Bladstilken har små røde hår. En hasselbusk sætter blomster fra den er omkring 10 år gammel. Der er han- og hunblomster på samme træ. Hanblomsterne er lange rakler. Hunblomsterne er små røde duske.  Nødderne er omgivet af en klokkeformet grøn `has´, som sammen med nødden bliver brun om efteråret. Inde i den hårde skal er en enkelt nød."
58,Hejrenæb,Erodium cicutarium,Redstem filaree,Urter,Tokimbladet,Storkenæbordenen,Storkenæbfamilien,"Hejrenæb er meget almindelig og vidt udbredt i hele Danmark på tør og mager jordbund. Urten vokser normalt på sandet agerjord, strandvolde, i klitter, vejkanter, haver og parker. Kendetegn Hejrenæb kan kende på de dobbelt fjersnitdelte blade med savtakkede småblade og skærmene med op til 12 rosenrøde blomster sammen. Hver blomst er 5 smalle kronblade. Derudover er plantens stængler blødhårede og delvist nedliggende, og blomsterstilkene er oprette og hårede. Frugter Hejrenæbs frugter er lange, næblignende spaltefrugter med 5 frø. Spaltefrugtens 5 klapper åbner sig nedefra og deles i fem dele med 1 frø hver."
59,Hindbær,Rubus idaeus,Raspberry,Buske,Tokimbladet,Rosenordenen,Rosenfamilien,"Hindbær er en busk med torne på de blomstrende skud og stængler. Blomsterne er hvide. I juli bliver de røde hindbær modne. Blade, frugter og blomster Sammensatte ægformede blade med savtakkede kanter. Blomsterne er hvide med 5 kronblade. Frugterne er røde. Når hindbærrene plukkes, bliver den hvide blomsterbund siddende på planten. De vilde skovhindbær er mindre men meget kraftigere i smagen end de almindelige havehindbær. Skovhindbær bruges især til marmelade. Hindbærblade blev tidligere brugt som en medicin. Nu bruges bladene til urtete."
60,Hulrodet lærkespore,Corydalis cava,Bird-in-a-bush,Urter,Tokimbladet,Ranunkelordenen,Valmuefamilien,"Hulrodet lærkespore vokser i løvskove med god muldbund, især i det østlige Danmark. Planten har en lav, tueformet vækst. Den springer ud tidligt om foråret, inden træerne skygger for sollyset. Derefter visner den bort og lever kun videre i rodknolden. Blade, frugter og blomster Delte blade med hel rand. Hvide, røde eller violette klaser af blomster med 4 kronblade, to indre og to ydre kronblade. De to indre kronblade er vokset sammen i spidsen. Frugten er en kapsel. Stænglerne lægger sig ned om efteråret, og frøene falder ud af kapslerne og spirer næste forår. Frøene spredes også med myrer.  "
61,Hulkravet kodriver,Primula veris,Cowslip,Urter,Tokimbladet,Lyngordenen,Kodriverfamilien,"Hulkravet kodriver findes på muldjord i løvskove, i krat og i enge. Den er almindelig i det meste af Danmark, bortset fra Vestjylland. Blade, blomster og frugter Bladene er rynkede og samles i en krans omkring stænglen. Blomsterne er gule, hulkravede blomster, som sidder i en klase øverst på en lang stilk. Hvad bruges hulkravet kodriver til? Blomsterne kan anvendes som lægemiddel og til urtete. Bladene kan bruges til urtete."
62,Hunderose,Rosa canina,Dog rose,Buske,Tokimbladet,Rosenordenen,Rosenfamilien,"Hunderosen er meget almindelig i den østlige del af Danmark, og den findes kun sjældent i Vestjylland. Det er en stor og kraftig busk med tornede, og ofte klatrende stængler, som kan gro højt op i nabotræer. Blade, blomster og frugter Bladene er grønne og sammensatte med 5-7 småblade. Blomsterne er store, hvide eller lyserøde. Stænglerne har kraftige barktorne, hvor spidsen bøjer nedad. Om efteråret får hunderosen ca. 2 cm aflange røde og glatte hyben.  De aflange hybenfrugter er først grønne, så bliver de orange og til sidst mørkerøde. Hybenfrugterne kan plukkes fra sidst på efteråret og hen på vinteren."
63,Hvid anemone,Anemone nemorosa,Wood anemone,Urter,Tokimbladet,Ranunkelordenen,Ranunkelfamilien,"  Hvid anemone er meget almindelig i løvskove og krat, hvor den kan dække skovbunden helt i det tidlige forår. Hvid anemone er en flerårig urt med en lang krybende jordstængel. Inden træerne springer ud og dækker for lyset, vokser anemoneplanterne frem fra rødderne. Når træerne får blade, visner anemoneplanterne, men de lever videre i jordstænglerne. Blade, blomster og frugter På hver stængel sidder tre blade, der har form som en hånd. Hvid anemone har 6-9 hvide kronblade. Kronbladene kan dog også være let rødviolette. Frøene spredes af myrer."
64,Hvid nøkkerose (Hvid åkande),Nymphaea alba,White waterlily,Urter,Tokimbladet,Åkandeordenen,Åkandefamilien,"Hvid nøkkerose eller hvid åkande er en ret almindelig vandplante i hele Danmark. Urten vokser i rolige søer, damme, åer, tørvegrave og vandløb på op til 3 meters dybde. Blade og blomster Plantens flydeblade er store og runde med en dyb indskæring ved stilken. Bladene er desuden grønne på oversiden og rødlige på undersiden. Blomsterne er meget store og består af hvide kronblade og gule støvblade. Blomsterne er kun åbne om dagen i godt vejr. Frugter Hvid nøkkeroses frugter er store, bæragtige kapsler med frø. Når planten ikke længere blomstrer, snor blomsterstilken sig sammen og trækker blomstens frugtknude med ned i vandet. Når frøene er modne stiger de igen op til vandoverfladen og spredes med vandet."
65,Hvid-kløver,Trifolium repens,White clover,Urter,Tokimbladet,Ærteblomstordenen,Ærteblomstfamilien,"Hvid-kløver er meget almindelig både som vildtvoksende og som dyrket plante på græsmarker. Som vildtvoksende findes urten på enge, overdrev, græsplæner, strandbredder, strandenge, i klitter, langs veje og ved byer. Stængel og blade Urten er krybende med nedliggende og rodslående stængler og overjordiske udløbere. Bladene er 3-koblede og sammensat af 3 småblade med et lyst V eller en lys halvmåne. Blomster og frugter Hvid-kløvers blomster er hvide eller rødlige med ærteformede kroner. Blomsterne er samlet i langstilkede og kuglerunde hoveder. Blomsternes nektar tiltrækker insekter, som bestøver blomsterne. Urtens frugter er små bælge med 3-4 frø."
66,Hvidtjørn (Engriflet hvidtjørn),Crataegus monogyna,Hawthorn,Buske,Tokimbladet,Løvfældende,Rosenfamilien,Engriflet hvidtjørn er den største af de tre danske arter af hvidtjørn. Planten er meget almindelig og findes i hele landet. Hvidtjørnen vokser både i skove og strandkrat samt i levende hegn og i haver. Særlige kendetegn Engriflet hvidtjørn er en stærkt forgrenet busk eller lavt træ med grentorne og dybt fligede blade. Blomsterne er hvide og dufter kraftigt. Blomster og frugter Blomsterne består af fem frie kronblade med et stort antal røde støvknapper. Blomsterne sidder tæt sammen i halvskærme. Frugten er rød og modnes i september-oktober. Stenfugten er ca. 6-10 mm. lang.
67,Hyld (almindelig),Sambucus nigra,Elder,Buske,Tokimbladet,Kartebolleordenen,Desmerurtfamilien,"Almindelig Hyld er en flere meter høj busk. Hylden findes i løvskovene på hele den nordlige halvkugle. Blade, blomster og frugter Bladene består af en bladstilk med 5-7 små blade med savtakket rand. Bladene sidder to og to over for hinanden med et enkelt blad for enden af stilken. Hyldens grønne dele er giftige – det gælder både blade, bark og grønne bær. Hylden er en af de første planter, som springer ud om foråret – ofte allerede i februar. Hylden blomstrer omkring midsommer med store, hvidgule skærme, som dufter sødligt. Hver enkelt lille blomst i en skærm har 5 kronblade.  I september udvikles de sorte, spiselige hyldebær. Frøene spredes i naturen med fugle.  "
68,Høj sødgræs,Glyceria maxima,Reed mannagrass,Græsser og siv,Enkimbladet,Græsordenen,Græsfamilien,"Høj sødgræs er ret almindelig og findes spredt i det meste af landet. Planten vokser på fugtig jordbund og våde enge samt ved søbredder og på lavt vand i damme, åer og vandløb. Blade og stængler Plantens blade er ret smalle, blanke på undersiden og har ved stilken 2 gulbrune, trekantede pletter. Stænglerne eller stråene er grønne. Høj sødgræs en af de største græsser i Danmark. Blomster Græssens blomster sidder i en såkaldt top, der kun er udspærret eller åben, når planten blomstrer. Toppen er 14-50 cm. lang. Blomstertoppen består af nogle gulbrune småaks med røde støvknapper."
69,Håret høgeurt,Pilosella Pilosellina,Mouse-ear hawkweed,Urter,Tokimbladet,Kurvblomstordenen,Kurvblomstfamilien,"Håret høgeurt er meget almindelig i hele Danmark på tør, sandet og mager jordbund. Urten vokser normalt på heder, enge, græsmarker, overdrev, skrænter og i klitter. Urten danner desuden ofte ret tætte bevoksninger. Stængel og blade Håret høgeurt er en lav, håret urt med en grundstillet roset af aflange, hårede blade med hvid- eller gråfiltet underside. Udløberne bærer også blade. Planten har mælkesaft. Frugter og blomster I toppen af de hvidfiltede og bladløse skafter sidder enlige kurve af lysegule blomster. De enkelte blomster er tungeformede og de yderste blomster har en rød midtstribe på undersiden. Høgeurtens frugt er en nød med hårformet fnok, som spredes med vinden."
70,Kastanie (Hestekastanie),Aesculus hippocastanum,Horse chestnut,Træer,Tokimbladet,Løvfældende,Hestekastaniefamilien,"Hestekastanien er et stort træ, som med tiden får en stor krone. Bladene springer ud i begyndelsen af maj, og blomsterne springer ud sidst i maj. Blade, blomster og frugter Bladene er meget store. De består af fem til syv småblade, som sidder på en stilk ligesom fingrene på en hånd. Hvert af småbladene er dobbelt savtakkede. Blomsterne er hvide og sidder i pyramideformede toppe, der kan blive op til 30 cm lange. Om efteråret modner frugterne i den piggede, grønne frugtkapsel. Den indeholder op til tre blanke, brune kastanier. Hestekastaniens ved er ikke særlig stærkt. Det bruges stort set kun til brænde. Kastanierne er fulde af næring og gode som vinterfoder til fx hjorte.  Tidligere samlede bønderne kastanier som vinterfoder til deres dyr."
71,Kattehale,Lythrum salicaria,Purple loosestrife,Urter,Tokimbladet,Myrteordenen,Kattehalefamilien,"Kattehale er en almindelig og ret hyppig plante, der findes i det meste af Danmark. Urten vokser på våd eller fugtig jordbund ved søbredder, åer, i sumpe, kær, moser, grøfter og på enge. Planten har været anvendt i medicin. Blade og blomster Kattehale er en opret plante med en håret og kantet stængel. Bladene er ca. 6-9 cm lange og sidder parvis modsat eller i kranse omkring stænglen. Blomsterne sidder i adskilte kranse i et langt aks øverst på planten Blomsterne er viloette og har 6 kronblade. Kattehale danner ofte tætte bestande. Frugter og frø Plantens frugter er aflange kapsler, der ligger inde i blomsterbægeret. Frøenes skaller bliver klæbrige i vandet og klistrer til vandfugle. På den måde spredes frøene."
72,Klørtang,Fucus evanescens,Knotted wrack,Alger,Brunalger,Fucales,Klørtangfamilien,"Klørtang eller langfrugtet klørtang findes fra kysten ud til ca. 2 meters dybde. Den trives godt i mange havneområder. Kendetegn Langfrugtet klørtang kendes på sin lysebrune eller olivengrønne farve. Den forveksles ofte med blæretang, mangler dog flydeblærer. Om foråret kendes langfrugtet klørtang på de opsvulmede formeringsorganer, som sidder i spidsen af skuddene. Den har et smalt, gaffeldelt løv med en ret tydelig midterribbe."
73,Korsandemad,Lemna trisulca,Ive-leaved duckweed,Urter,Brunalger,Fucales,Klørtangfamilien,"Klørtang eller langfrugtet klørtang findes fra kysten ud til ca. 2 meters dybde. Den trives godt i mange havneområder. Kendetegn Langfrugtet klørtang kendes på sin lysebrune eller olivengrønne farve. Den forveksles ofte med blæretang, mangler dog flydeblærer. Om foråret kendes langfrugtet klørtang på de opsvulmede formeringsorganer, som sidder i spidsen af skuddene. Den har et smalt, gaffeldelt løv med en ret tydelig midterribbe."
74,Kruset vandaks,Potamogeton crispus,Curly-leaf pondweed,Urter,Brunalger,Fucales,Klørtangfamilien,"Klørtang eller langfrugtet klørtang findes fra kysten ud til ca. 2 meters dybde. Den trives godt i mange havneområder. Kendetegn Langfrugtet klørtang kendes på sin lysebrune eller olivengrønne farve. Den forveksles ofte med blæretang, mangler dog flydeblærer. Om foråret kendes langfrugtet klørtang på de opsvulmede formeringsorganer, som sidder i spidsen af skuddene. Den har et smalt, gaffeldelt løv med en ret tydelig midterribbe."
75,Krybende baldrian,Valeriana sambucifolia,Common valerian,Urter,Tokimbladet,Kartebolleordenen,Baldrianfamilien,"Krybende baldrian er almindelig og hyppig i Danmark. Urten vokser i sumpe, moser, moseskove, på enge, ved kildevæld og ved bredden af søer og åer. Stængel og blade Plantens blade er fjersnitdelte og sidder parvis modsatte (dvs. overfor hinanden). Småbladene er lancetformede eller elliptiske med hår på undersiden. Den nederste del af plantens stængel er desuden håret. Blomster og frugter Urtens blomsterstande er halvskærme, der består af kvaste med flere blomster i hver. De små blomster er lyserøde og rørformede. Hver blomst har desuden et blomsterbæger, der omdannes til den fnok, der sidder på nødderne."
76,Krybende pil,Salix viminalis,Osier,Bukse,Tokimbladet,Pileordenen,Pilefamilien,"Krybende pil er meget almindeligt udbredt i den nordlige og vestlige del af Jylland. Planten forekommer også mere spredt i resten af Danmark. Krybende pil vokser især på heder, på sandet bund og enge samt i klitter og moser. Kendetegn Krybende pil er normalt en ret lav og krybende busk. Hvis planten vokser på mere fugtig bund, kan busken dog blive høj og grenene mere oprette. Bladene er glatte på oversiden, mens undersiden er håret og lysere. Blomster Hanraklerne består af små blomster med 2 gule støvblade. Hunraklernes blomster består af en grøn frugtknude og et støvfang. Blomsterne har desuden nektarkirtler og kan tiltrække mange bier om foråret."
77,Krybende potentil,Potentilla reptans,Common tormentil,Urter,Tokimbladet,Rosenordenen,Rosenfamilien,"Krybende potentil er almindelig i det østlige Danmark, men forekommer dog sjældent i resten af landet. Urten vokser på varierende jordbund på opskyllet tang på strandbredder, på strandvolde, skrænter, tørre enge, marker, i åben skov og i klitter. Stængel og blade Krybende potentil er en lav, nedliggende urt med lange stængler og rodslående udløbere. Bladene er langstilkede og sidder enten spredt eller er samlet i rosetter. Bladene er desuden fingrede eller hånddelte med 5 smalle, savtakkede småblade. Blomster Urtens blomster sidder enkeltvis på lange, tynde stilke. Blomsterne er gule og har 5 hjerteformede eller udrandede kronblade."
78,Krybhvene,Elytrigia repens,Twich/Quick grass,Græsser og siv,Enkimbladet,Græsordenen,Græsfamilien,"Krybhvene er en meget almindelig plante i hele Danmark. Græsarten vokser ved kysten på strandenge og i klitter samt på græsenge, ved søbredder, i moser og i vejkanter. Blade og stængel Bladene er grågrønne eller blågrønne og forholdsvis korte. Stænglen er grøn og hul indeni. Stænglerne er oprette og knæbøjede. Blomster og frugter Krybhvenens blomsterstand består af nogle rødlige småaks, der hver har én blomst. Småaksene sidder øverst på stænglen i en såkaldt top. Blomstertoppen er ca. 4-20 cm. lang og er udspærret under blomstringen."
79,Kæmpe svingel,Festuca Gigantea,Giant Fescue,Græsser og siv,Enkimbladet,Græsordenen,Græsfamilien,"Kæmpesvingel er en flerårig græs, som især er almindelig i Østjylland og på øerne. Blade Bladene er op til 1 cm brede"
80,Kæmpe-bjørneklo,Heracleum mantegazzianum,Giant hogweed,Urter,Tokimbladet,Skærmplanteordenen,Skærmplantefamilien,"Kæmpe-bjørneklo er en såkaldt invasiv art, som blev indført til Danmark fra Kaukasus i 1800-tallet og har bredt sig til naturen, hvor den udkonkurrerer andre planter. Kæmpe-bjørneklo er derfor uønsket i Danmark. Planten er dog ret hyppig og vokser ved vejkanter, vandløb, på enge, i krat, moser, på strandenge og ved bebyggelser. Kendetegn Kæmpe-bjørneklo er meget stor urt med op til 10 cm tykke, oprette og rødplettede stængler. Bladene er dybt fligede, savtakkede og kan blive op til 1,5 m lange. Urtens blomster er samlet i dobbeltskærme med en diameter på op til 50 cm. Blomsterne er hvide og enten tvekønnede, hanlige eller hunlige. Urtens frugt er en spaltefrugt, der deles i to delfrugter. Frøene kan både spredes med vinden og flyde. Desuden kan de bevare spireevnen i flere år."
81,Lancetvejbred,Plantago lanceolata,Ribwort plantain,Urter,Tokimbladet,Læbeblomstordenen,Vejbredfamilien,"Lancetvejbred er almindelig overalt i Danmark, hvor den vokser på græsmarker, skrænter, græsplæner, overdrev, enge, strandbredder og i vejkanter. Stængel og blade Lancetvejbred har op til 25 cm lange, lancetformede blade, der sidder i en roset. Stænglen eller blomsterskaftet er kantet, bladløst og noget længere end bladene. Blomster og frugter Blomsterstanden er et 1-2 cm langt, sortbrunt aks, der består af små, brune blomster med hvide støvblade. Hvert aks består af ikke-udsprungne blomster (øverst), hunlige blomster, hanlige blomster og visne blomster (nederst). Lancetvejbreds frugt er en kapsel eller buddike med 2 frø."
82,Liden andemad,Lemna minor,Common duckweed,Urter,Tokimbladet,Læbeblomstordenen,Vejbredfamilien,"Lancetvejbred er almindelig overalt i Danmark, hvor den vokser på græsmarker, skrænter, græsplæner, overdrev, enge, strandbredder og i vejkanter. Stængel og blade Lancetvejbred har op til 25 cm lange, lancetformede blade, der sidder i en roset. Stænglen eller blomsterskaftet er kantet, bladløst og noget længere end bladene. Blomster og frugter Blomsterstanden er et 1-2 cm langt, sortbrunt aks, der består af små, brune blomster med hvide støvblade. Hvert aks består af ikke-udsprungne blomster (øverst), hunlige blomster, hanlige blomster og visne blomster (nederst). Lancetvejbreds frugt er en kapsel eller buddike med 2 frø."
